observation_date,IR3TIB01PLM156N
2001-01-01,18.8600
2001-02-01,18.2900
2001-03-01,17.3700
2001-04-01,17.1500
2001-05-01,17.1600
2001-06-01,16.0900
2001-07-01,15.4900
2001-08-01,15.4200
2001-09-01,14.5600
2001-10-01,13.8400
2001-11-01,12.4500
2001-12-01,11.9100
2002-01-01,10.6400
2002-02-01,10.2200
2002-03-01,10.3400
2002-04-01,10.1000
2002-05-01,9.6000
2002-06-01,8.9700
2002-07-01,8.6900
2002-08-01,8.3300
2002-09-01,7.7300
2002-10-01,7.0200
2002-11-01,6.7600
2002-12-01,6.8700
2003-01-01,6.4700
2003-02-01,6.2700
2003-03-01,5.9800
2003-04-01,5.9100
2003-05-01,5.4000
2003-06-01,5.3200
2003-07-01,5.2400
2003-08-01,5.1400
2003-09-01,5.2400
2003-10-01,5.8600
2003-11-01,5.8300
2003-12-01,5.6000
2004-01-01,5.4600
2004-02-01,5.5000
2004-03-01,5.4900
2004-04-01,5.8500
2004-05-01,6.0000
2004-06-01,6.0500
2004-07-01,6.4100
2004-08-01,7.0000
2004-09-01,6.9100
2004-10-01,6.8400
2004-11-01,6.7700
2004-12-01,6.6400
2005-01-01,6.6100
2005-02-01,6.3100
2005-03-01,5.9100
2005-04-01,5.5900
2005-05-01,5.4400
2005-06-01,4.9000
2005-07-01,4.6700
2005-08-01,4.6000
2005-09-01,4.5000
2005-10-01,4.6200
2005-11-01,4.6300
2005-12-01,4.6000
2006-01-01,4.4000
2006-02-01,4.1600
2006-03-01,4.1700
2006-04-01,4.1300
2006-05-01,4.1500
2006-06-01,4.2100
2006-07-01,4.1800
2006-08-01,4.1900
2006-09-01,4.2200
2006-10-01,4.2000
2006-11-01,4.2000
2006-12-01,4.2000
2007-01-01,4.1900
2007-02-01,4.2200
2007-03-01,4.2400
2007-04-01,4.4000
2007-05-01,4.4400
2007-06-01,4.4450
2007-07-01,4.8100
2007-08-01,5.0300
2007-09-01,5.0100
2007-10-01,5.2100
2007-11-01,5.5600
2007-12-01,5.6800
2008-01-01,5.6500
2008-02-01,5.9400
2008-03-01,6.1500
2008-04-01,6.3400
2008-05-01,6.4800
2008-06-01,6.6500
2008-07-01,6.5600
2008-08-01,6.5000
2008-09-01,6.6300
2008-10-01,6.8500
2008-11-01,6.5600
2008-12-01,5.8800
2009-01-01,4.8600
2009-02-01,4.5100
2009-03-01,4.1700
2009-04-01,4.3000
2009-05-01,4.6200
2009-06-01,4.4400
2009-07-01,4.1700
2009-08-01,4.1800
2009-09-01,4.1800
2009-10-01,4.1800
2009-11-01,4.1900
2009-12-01,4.2700
2010-01-01,4.1900
2010-02-01,4.1500
2010-03-01,4.1000
2010-04-01,3.8600
2010-05-01,3.8600
2010-06-01,3.8700
2010-07-01,3.8200
